place_name,location,district,category,best_season,festival_peak_months,normal_crowd_level,festival_crowd_level,latitude,longitude,description
Shenbagathoppu Sanctuary,Near Srivilliputhur,Virudhunagar,Wildlife,Winter,Dec,Low,Medium,9.4700,77.6000,"Western Ghats biodiversity."
Rajapalayam Foothills,Rajapalayam,Virudhunagar,Scenic,Winter,Jan,Low,Medium,9.4500,77.5800,"Foothill viewpoints."

Vaigai Dam,Andipatti,Theni,Dam,Winter,Jan,Medium,High,9.8360,77.4810,"Dam and garden."
Suruli Falls,Surulipatti,Theni,Waterfall,Monsoon,Jul,Medium,High,9.6800,77.3000,"Falls and walk trails."
Megamalai,High Wavys,Theni,Hill Station,Winter,May,Low,Medium,9.6500,77.4000,"Tea estates and misty roads."

Courtallam Falls,Courtallam,Tenkasi,Waterfall,Monsoon,Jul,High,Very High,8.9330,77.2770,"Monsoon falls hotspot."
Tenkasi Temple,Tenkasi,Tenkasi,Temple,All,Apr,Medium,High,8.9600,77.3100,"Iconic gopuram."
Papanasam Dam,Papanasam,Tenkasi,Dam,Winter,Jan,Low,Medium,8.7000,77.3300,"Dam and forest views."

Nellaiappar Temple,Tirunelveli,Tirunelveli,Temple,All,Apr,High,Very High,8.7280,77.7080,"Musical pillars temple."
Manimuthar Falls,Manimuthar,Tirunelveli,Waterfall,Monsoon,Aug,Medium,High,8.6400,77.3900,"Falls and dam area."
Agasthiyar Falls,Papanasam Belt,Tirunelveli,Waterfall,Monsoon,Aug,Medium,High,8.6600,77.3300,"Forest falls."

Thiruchendur Murugan Temple,Thiruchendur,Thoothukudi,Temple,All,Nov,High,Very High,8.4970,78.1190,"Seashore Murugan temple."
Tuticorin Beach,Thoothukudi,Thoothukudi,Beach,Winter,Jan,Medium,High,8.7640,78.1340,"Coastal beach."
Kalugumalai Rock-Cut,Kalugumalai,Thoothukudi,Heritage,Winter,Jan,Low,Medium,9.1500,77.7000,"Jain beds & temple heritage."

Bannari Amman Temple,Bhavanisagar,Erode,Temple,All,Mar,High,Very High,11.4500,77.0800,"Amman festival crowds."
Bhavanisagar Dam,Bhavanisagar,Erode,Dam,Winter,Jan,Medium,High,11.4800,77.0700,"Large dam."
Kodiveri Dam,Gobi,Erode,Dam,Winter,Jan,Medium,High,11.4700,77.3200,"Picnic dam."

Krishnagiri Dam,Krishnagiri,Krishnagiri,Dam,Winter,Jan,Medium,High,12.5200,78.2100,"Reservoir and park."
Rayakottai Fort,Rayakottai,Krishnagiri,Heritage,Winter,Jan,Low,Medium,12.4200,77.9400,"Hill fort ruins."
Shoolagiri Viewpoints,Shoolagiri,Krishnagiri,Scenic,Winter,Jan,Low,Medium,12.6700,78.0000,"Short drives and views."

Pulicat Lake,Pulicat,Tiruvallur,Birding,Winter,Dec,Medium,High,13.4200,80.3200,"Flamingos in winter."
Thiruthani Murugan Temple,Thiruthani,Tiruvallur,Temple,All,Jan/Feb,High,Very High,13.1770,79.6160,"Arupadai Veedu."
Poondi Reservoir,Poondi,Tiruvallur,Dam,Winter,Jan,Low,Medium,13.2260,79.9500,"Reservoir picnic."

Yelagiri Hills,Yelagiri,Tirupathur,Hill Station,Winter,May,Medium,High,12.5300,78.6100,"Easy hill station."
Vainu Bappu Observatory,Kavalur,Tirupathur,Science,Winter,Dec,Medium,High,12.5760,78.8210,"Observatory tourism."
Jalagamparai Falls,Yelagiri,Tirupathur,Waterfall,Monsoon,Aug,Low,Medium,12.5300,78.6200,"Seasonal falls."

Sholinghur Narasimha Temple,Sholinghur,Ranipet,Temple,All,Apr,High,Very High,13.1180,79.4240,"Hill temple with festivals."
Walajah Fort Area,Walajapet,Ranipet,Heritage,Winter,Jan,Low,Medium,12.9200,79.3700,"Heritage streets and fort remains."
Arajagiri Hill Trail,Sholinghur,Ranipet,Trekking,Winter,Jan,Medium,High,13.1185,79.4250,"Temple hill trek route."

Namakkal Fort,Namakkal,Namakkal,Heritage,Winter,Jan,Medium,High,11.2190,78.1670,"Fort and rock hill."
Anjaneyar Temple,Namakkal,Namakkal,Temple,All,Apr,High,Very High,11.2210,78.1690,"Famous Hanuman."
Kolli Hills,Semmedu,Namakkal,Hill Station,Winter,May,Medium,High,11.2500,78.3300,"Hairpin bends & viewpoints."

Gangaikonda Cholapuram,Gangaikonda Cholapuram,Ariyalur,Temple,All,Oct,Medium,High,11.2000,79.4500,"UNESCO Chola temple."
Karaivetti Bird Sanctuary,Karaivetti,Ariyalur,Birding,Winter,Dec,Low,Medium,11.1000,79.2800,"Birds in winter."
Ariyalur Fossil Park,Ariyalur,Ariyalur,Science,Winter,Jan,Low,Medium,11.1400,79.0700,"Fossil exposure zones."

Siruvachur Amman Temple,Siruvachur,Perambalur,Temple,All,May,Medium,High,11.2500,78.9600,"Popular Amman temple."
Ranjankudi Fort,Perambalur,Perambalur,Heritage,Winter,Jan,Low,Medium,11.2400,78.9000,"Historic fort ruins."
Perambalur Eco Park,Perambalur,Perambalur,Park,Winter,Jan,Low,Medium,11.2300,78.8800,"Family park and walks."

Sittannavasal,Illupur,Pudukkottai,Heritage,Winter,Jan,Medium,High,10.4500,78.7500,"Jain cave paintings."
Thirumayam Fort,Thirumayam,Pudukkottai,Heritage,Winter,Jan,Low,Medium,10.2500,78.7500,"Fort and temple."
Kudumiyanmalai,Kudumiyanmalai,Pudukkottai,Heritage,Winter,Jan,Low,Medium,10.5400,78.8000,"Rock-cut inscriptions."

Avinashi Temple,Avinashi,Tiruppur,Temple,All,Apr,Medium,High,11.1930,77.2680,"Historic temple town."
Thirumoorthy Hills,Thirumoorthy,Tiruppur,Hill Station,Winter,May,Low,Medium,10.4500,77.0700,"Scenic hills."
Amaravathi Dam,Amaravathinagar,Tiruppur,Dam,Winter,Jan,Medium,High,10.3000,77.2000,"Dam and reservoir."

Kalyana Pasupatheeswarar Temple,Karur,Karur,Temple,All,Mar,Medium,High,10.9630,78.0750,"Karur landmark Shiva temple."
Amaravathi River Walk,Karur,Karur,Scenic,Winter,Jan,Low,Medium,10.9600,78.0700,"Evening walk views."
Karur Local Markets,Karur,Karur,Culture,All,Apr,Medium,High,10.9605,78.0760,"Textile and local culture."

Kallakurichi Gomuki Dam,Manalurpet,Kallakurichi,Dam,Winter,Jan,Low,Medium,11.9200,79.0700,"Dam and park."
Kalvarayan Hills,Kalvarayan,Kallakurichi,Hill Station,Winter,May,Low,Medium,11.6200,78.6800,"Hill ranges."
Kallakurichi Local Temples,Kallakurichi,Kallakurichi,Temple,All,Apr,Low,Medium,11.7400,78.9600,"District temples."

Thoovanam Falls,Papanasam,Tirunelveli,Waterfall,Monsoon,Aug,Medium,High,8.6500,77.3500,"Falls in forest belt."
